Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Team
2026-03-31,20:45 (13:45),Friendlies (M),Friendlies (M),Tue,Away,L,0.0,1.0,at Austria,,35300.0,Son Heung-min,3-4-3,4-2-3-1,Sander van der Eijk,Match Report,,Korea Republic
2026-03-28,14:00 (09:00),Friendlies (M),Friendlies (M),Sat,Neutral,L,0.0,4.0,ci Côte d'Ivoire,,5917.0,Kim Min-jae,3-4-3,4-1-4-1,Ian McNabb,Match Report,,Korea Republic
2025-06-10,20:00 (06:00),WCQ,Third round,Tue,Home,W,4.0,0.0,kw Kuwait,74.0,41119.0,Hwang In-beom,4-2-3-1,4-1-4-1,Majed Mohammed Al Shamrani,Match Report,,Korea Republic
2025-06-05,21:15 (13:15),WCQ,Third round,Thu,Away,W,2.0,0.0,iq Iraq,76.0,55972.0,Lee Jae-sung,4-2-3-1,4-2-3-1,Yūsuke Araki,Match Report,,Korea Republic
2025-03-25,20:00 (06:00),WCQ,Third round,Tue,Home,D,1.0,1.0,jo Jordan,75.0,41532.0,Son Heung-min,4-2-3-1,3-4-3,Ilgiz Tantashev,Match Report,,Korea Republic
2025-03-20,20:00 (06:00),WCQ,Third round,Thu,Home,D,1.0,1.0,om Oman,63.0,35212.0,Son Heung-min,4-2-3-1,5-4-1,Alireza Faghani,Match Report,,Korea Republic
2024-11-19,17:00 (09:00),WCQ,Third round,Tue,Neutral,D,1.0,1.0,ps Palestine,74.0,2405.0,Son Heung-min,4-2-3-1,4-2-2-2,Yūsuke Araki,Match Report,,Korea Republic
2024-11-14,17:00 (09:00),WCQ,Third round,Thu,Away,W,3.0,1.0,kw Kuwait,75.0,22791.0,Son Heung-min,4-2-3-1,4-2-2-2,Shaun Evans,Match Report,,Korea Republic
2024-10-15,20:00 (06:00),WCQ,Third round,Tue,Home,W,3.0,2.0,iq Iraq,76.0,35198.0,Kim Min-jae,4-2-3-1,4-2-3-1,Rustam Lutfullin,Match Report,,Korea Republic
2024-10-10,17:00 (09:00),WCQ,Third round,Thu,Away,W,2.0,0.0,jo Jordan,75.0,14655.0,Kim Min-jae,4-2-3-1,3-4-3,Hiroyuki Kimura,Match Report,,Korea Republic
